vertex_count,density,algorithm,time
450,0.9,kruskal,0.08543170689983526
460,0.1,prim,0.00701186788995983
460,0.1,kruskal,0.010138746479642578
460,0.5,prim,0.026914292120782193
460,0.5,kruskal,0.047070942060090604
460,0.9,prim,0.045566802059474866
460,0.9,kruskal,0.09014665769878775
470,0.1,prim,0.007249992480210494
470,0.1,kruskal,0.01065291029837681
470,0.5,prim,0.028166859190387184
470,0.5,kruskal,0.048877019089122765
470,0.9,prim,0.048452323968522254
470,0.9,kruskal,0.09539098247070797
480,0.1,prim,0.007573384391143918
480,0.1,kruskal,0.01108459789043991
480,0.5,prim,0.029459763379127254
480,0.5,kruskal,0.05124865036021219
480,0.9,prim,0.050543118011555636
480,0.9,kruskal,0.10055693050147965
490,0.1,prim,0.007826592600904405
490,0.1,kruskal,0.011526968249236234
490,0.5,prim,0.030975387971848248
490,0.5,kruskal,0.0538212027985719
490,0.9,prim,0.0515197190688923
490,0.9,kruskal,0.10644138393981847
500,0.1,prim,0.008092630289320368
500,0.1,kruskal,0.011985531776736025
500,0.5,prim,0.032623742249270435
500,0.5,kruskal,0.05667230671155266
500,0.9,prim,0.05471591924026143
500,0.9,kruskal,0.1113753106095828
510,0.1,prim,0.008683744599111379
510,0.1,kruskal,0.012603516420640518
510,0.5,prim,0.033635803720681
510,0.5,kruskal,0.059684296950872524
510,0.9,prim,0.05666405586962355
510,0.9,kruskal,0.11628504868218442
520,0.1,prim,0.008797259180282709
520,0.1,kruskal,0.013032370210275986
520,0.5,prim,0.0350189388502622
520,0.5,kruskal,0.06220077046949882
520,0.9,prim,0.0581116240908159
520,0.9,kruskal,0.12223980012786342
530,0.1,prim,0.009110299870371819
530,0.1,kruskal,0.013542660961684305
530,0.5,prim,0.03604703110846458
530,0.5,kruskal,0.0652220564900199
530,0.9,prim,0.060331030900997576
530,0.9,kruskal,0.12780225259135478
540,0.1,prim,0.009392495880019851
540,0.1,kruskal,0.014009631951630581
540,0.5,prim,0.0374309438795899
540,0.5,kruskal,0.06783745224936866
540,0.9,prim,0.06253573210851755
540,0.9,kruskal,0.13297536227008094
550,0.1,prim,0.009685045511287172
550,0.1,kruskal,0.01456191357021453
550,0.5,prim,0.03887238145165611
550,0.5,kruskal,0.07134918960888172
550,0.9,prim,0.06562017848074903
550,0.9,kruskal,0.13997736182966036
560,0.1,prim,0.009975487900373992
560,0.1,kruskal,0.015059643190470524
560,0.5,prim,0.04036456458939938
560,0.5,kruskal,0.07404279120033606
560,0.9,prim,0.06847493481880519
560,0.9,kruskal,0.14633667357091326
570,0.1,prim,0.010318554230616428
570,0.1,kruskal,0.015584414569020736
570,0.5,prim,0.041736443642003
570,0.5,kruskal,0.07689805347763468
570,0.9,prim,0.07030362704099388
570,0.9,kruskal,0.15268156271224143
580,0.1,prim,0.010727148112200666
580,0.1,kruskal,0.01618291237973608
580,0.5,prim,0.04303606869914802
580,0.5,kruskal,0.08021709578257287
580,0.9,prim,0.07299802556051872
580,0.9,kruskal,0.1586622981977416
590,0.1,prim,0.010816515840997454
590,0.1,kruskal,0.016747396563878282
590,0.5,prim,0.044219412049569654
590,0.5,kruskal,0.08403634426969803
590,0.9,prim,0.07527538119029487
590,0.9,kruskal,0.16582518116076245
600,0.1,prim,0.011361344310571439
600,0.1,kruskal,0.017285291028674692
600,0.5,prim,0.04666490817966405
600,0.5,kruskal,0.0875057824823307
600,0.9,prim,0.0770937449822668
600,0.9,kruskal,0.1725561784094316
610,0.1,prim,0.011730856029316783
610,0.1,kruskal,0.017889384108420926
610,0.5,prim,0.047768079430970826
610,0.5,kruskal,0.09102729935053504
610,0.9,prim,0.07903061168879504
610,0.9,kruskal,0.17958163225994211
620,0.1,prim,0.012082835749606603
620,0.1,kruskal,0.018469879500626122
620,0.5,prim,0.0493658279592637
620,0.5,kruskal,0.09499017944850494
620,0.9,prim,0.08338896086992463
620,0.9,kruskal,0.18708338440890657
630,0.1,prim,0.012634383550903294
630,0.1,kruskal,0.019183133361511864
630,0.5,prim,0.05178535741026281
630,0.5,kruskal,0.09820802938891575
630,0.9,prim,0.08426506964140572
630,0.9,kruskal,0.19196890489198268
640,0.1,prim,0.01269315221143188
640,0.1,kruskal,0.01936462753918022
640,0.5,prim,0.05233636919001583
640,0.5,kruskal,0.10218828520155512
640,0.9,prim,0.08695225431205472
640,0.9,kruskal,0.1996631149094901
650,0.1,prim,0.013197819910419639
650,0.1,kruskal,0.020052756600198337
650,0.5,prim,0.05387113236851292
650,0.5,kruskal,0.10813007915130583
650,0.9,prim,0.09065362658933736
650,0.9,kruskal,0.20595494099106873
660,0.1,prim,0.013310840428748633
660,0.1,kruskal,0.02042985356907593
660,0.5,prim,0.05551979074021801
660,0.5,kruskal,0.11040287644020282
660,0.9,prim,0.09121296001190786
660,0.9,kruskal,0.21281377531762702
670,0.1,prim,0.013752474709763192
670,0.1,kruskal,0.021151366082194728
670,0.5,prim,0.05675630625919439
670,0.5,kruskal,0.1140477305217064
670,0.9,prim,0.09498781969945412
670,0.9,kruskal,0.21971610014152249
680,0.1,prim,0.014122877999034245
680,0.1,kruskal,0.02164763555949321
680,0.5,prim,0.05873368860804476
680,0.5,kruskal,0.11832737517863279
680,0.9,prim,0.0973510236304719
680,0.9,kruskal,0.22804313901258866
690,0.1,prim,0.014519456980051472
690,0.1,kruskal,0.022450383991817945
690,0.5,prim,0.06050620841939235
690,0.5,kruskal,0.1236141070080339
690,0.9,prim,0.10037378711916972
690,0.9,kruskal,0.23536803797993344
700,0.1,prim,0.015103754950105212
700,0.1,kruskal,0.023028931170993017
700,0.5,prim,0.06175697958184173
700,0.5,kruskal,0.12648411417234456
700,0.9,prim,0.10402930857846514
700,0.9,kruskal,0.24297487117059063
